"nutrient","nutrient_unit","nutrient_value","food_type"
"Total lipid (fat)","G",0.14,"Iceberg Lettuce"
"Calcium, Ca","MG",18,"Iceberg Lettuce"
"Potassium, K","MG",141,"Iceberg Lettuce"
"Zinc, Zn","MG",0.15,"Iceberg Lettuce"
"Vitamin E (alpha-tocopherol)","MG",0.18,"Iceberg Lettuce"
"Water","G",95.6,"Iceberg Lettuce"
"Vitamin B-6","MG",0.042,"Iceberg Lettuce"
"Vitamin D (D2 + D3)","UG",0,"Iceberg Lettuce"
"Protein","G",2.89,"Artichoke"
"Total lipid (fat)","G",0.34,"Artichoke"
"Carbohydrate, by difference","G",12,"Artichoke"
"Energy","KCAL",53,"Artichoke"
"Water","G",84.1,"Artichoke"
"Sugars, total including NLEA","G",0.99,"Artichoke"
"Fiber, total dietary","G",5.7,"Artichoke"
"Calcium, Ca","MG",21,"Artichoke"
"Iron, Fe","MG",0.61,"Artichoke"
"Magnesium, Mg","MG",42,"Artichoke"
"Phosphorus, P","MG",73,"Artichoke"
"Potassium, K","MG",286,"Artichoke"
"Sodium, Na","MG",60,"Artichoke"
"Zinc, Zn","MG",0.4,"Artichoke"
"Vitamin A, RAE","UG",1,"Artichoke"
"Vitamin E (alpha-tocopherol)","MG",0.19,"Artichoke"
"Vitamin D (D2 + D3)","UG",0,"Artichoke"
"Vitamin C, total ascorbic acid","MG",7.4,"Artichoke"
"Vitamin B-6","MG",0.081,"Artichoke"
"Vitamin B-12","UG",0,"Artichoke"
"Vitamin K (phylloquinone)","UG",14.8,"Artichoke"
"Folic acid","UG",0,"Artichoke"
"Cholesterol","MG",0,"Artichoke"
"Protein","G",1.05,"Zucchini"
"Total lipid (fat)","G",0,"Zucchini"
"Carbohydrate, by difference","G",4.21,"Zucchini"
"Energy","KCAL",21,"Zucchini"
"Sugars, total including NLEA","G",3.16,"Zucchini"
"Fiber, total dietary","G",1.1,"Zucchini"
"Calcium, Ca","MG",21,"Zucchini"
"Iron, Fe","MG",0.44,"Zucchini"
"Potassium, K","MG",222,"Zucchini"
"Sodium, Na","MG",0,"Zucchini"
"Vitamin D (D2 + D3), International Units","IU",0,"Zucchini"
"Vitamin C, total ascorbic acid","MG",12.6,"Zucchini"
"Cholesterol","MG",0,"Zucchini"
"Protein","G",1.5,"Leek"
"Total lipid (fat)","G",0.3,"Leek"
"Carbohydrate, by difference","G",14.2,"Leek"
"Energy","KCAL",61,"Leek"
"Water","G",83,"Leek"
"Sugars, total including NLEA","G",3.9,"Leek"
"Fiber, total dietary","G",1.8,"Leek"
"Calcium, Ca","MG",59,"Leek"
"Iron, Fe","MG",2.1,"Leek"
"Magnesium, Mg","MG",28,"Leek"
"Phosphorus, P","MG",35,"Leek"
"Potassium, K","MG",180,"Leek"
"Sodium, Na","MG",20,"Leek"
"Zinc, Zn","MG",0.12,"Leek"
"Vitamin A, RAE","UG",83,"Leek"
"Vitamin E (alpha-tocopherol)","MG",0.92,"Leek"
"Vitamin D (D2 + D3)","UG",0,"Leek"
"Vitamin C, total ascorbic acid","MG",12,"Leek"
"Vitamin B-6","MG",0.233,"Leek"
"Vitamin B-12","UG",0,"Leek"
"Vitamin K (phylloquinone)","UG",47,"Leek"
"Folic acid","UG",0,"Leek"
"Cholesterol","MG",0,"Leek"
"Energy","kJ",243,"Potatoes"
"Folic acid","UG",0,"Potatoes"
"Fiber, total dietary","G",2.5,"Potatoes"
"Vitamin D (D2 + D3), International Units","IU",0,"Potatoes"
"Vitamin A, RAE","UG",0,"Potatoes"
"Cholesterol","MG",0,"Potatoes"
"Protein","G",2.57,"Potatoes"
"Iron, Fe","MG",3.24,"Potatoes"
"Magnesium, Mg","MG",23,"Potatoes"
"Phosphorus, P","MG",38,"Potatoes"
"Sodium, Na","MG",10,"Potatoes"
"Vitamin C, total ascorbic acid","MG",11.4,"Potatoes"
"Vitamin B-12","UG",0,"Potatoes"
"Total lipid (fat)","G",0.1,"Potatoes"
"Carbohydrate, by difference","G",12.4,"Potatoes"
"Energy","KCAL",58,"Potatoes"
"Water","G",83.3,"Potatoes"
"Calcium, Ca","MG",30,"Potatoes"
"Potassium, K","MG",413,"Potatoes"
"Zinc, Zn","MG",0.35,"Potatoes"
"Vitamin B-6","MG",0.239,"Potatoes"
"Vitamin D (D2 + D3)","UG",0,"Potatoes"
"Folic acid","UG",0,"Green Bell Pepper"
"Vitamin D (D2 + D3), International Units","IU",0,"Green Bell Pepper"
"Vitamin B-6","MG",0.224,"Green Bell Pepper"
"Vitamin E (alpha-tocopherol)","MG",0.37,"Green Bell Pepper"
"Calcium, Ca","MG",10,"Green Bell Pepper"
"Potassium, K","MG",175,"Green Bell Pepper"
"Zinc, Zn","MG",0.13,"Green Bell Pepper"
"Total lipid (fat)","G",0.17,"Green Bell Pepper"
"Water","G",93.9,"Green Bell Pepper"
"Protein","G",0.86,"Green Bell Pepper"
"Fiber, total dietary","G",1.7,"Green Bell Pepper"
"Iron, Fe","MG",0.34,"Green Bell Pepper"
"Magnesium, Mg","MG",10,"Green Bell Pepper"
"Phosphorus, P","MG",20,"Green Bell Pepper"
"Sodium, Na","MG",3,"Green Bell Pepper"
"Vitamin C, total ascorbic acid","MG",80.4,"Green Bell Pepper"
"Vitamin K (phylloquinone)","UG",7.4,"Green Bell Pepper"
"Vitamin A, RAE","UG",18,"Green Bell Pepper"
"Energy","kJ",84,"Green Bell Pepper"
"Carbohydrate, by difference","G",4.64,"Green Bell Pepper"
"Energy","KCAL",20,"Green Bell Pepper"
"Sugars, total including NLEA","G",2.4,"Green Bell Pepper"
"Vitamin B-12","UG",0,"Green Bell Pepper"
"Cholesterol","MG",0,"Green Bell Pepper"
"Vitamin D (D2 + D3)","UG",0,"Green Bell Pepper"
"Folic acid","UG",0,"Red Bell Pepper"
"Fiber, total dietary","G",2.1,"Red Bell Pepper"
"Vitamin D (D2 + D3), International Units","IU",0,"Red Bell Pepper"
"Energy","KCAL",26,"Red Bell Pepper"
"Energy","kJ",111,"Red Bell Pepper"
"Vitamin C, total ascorbic acid","MG",128,"Red Bell Pepper"
"Sodium, Na","MG",4,"Red Bell Pepper"
"Cholesterol","MG",0,"Red Bell Pepper"
"Vitamin A, RAE","UG",157,"Red Bell Pepper"
"Sugars, total including NLEA","G",4.2,"Red Bell Pepper"
"Carbohydrate, by difference","G",6.03,"Red Bell Pepper"
"Vitamin K (phylloquinone)","UG",4.9,"Red Bell Pepper"
"Vitamin E (alpha-tocopherol)","MG",1.58,"Red Bell Pepper"
"Iron, Fe","MG",0.43,"Red Bell Pepper"
"Magnesium, Mg","MG",12,"Red Bell Pepper"
"Phosphorus, P","MG",26,"Red Bell Pepper"
"Protein","G",0.99,"Red Bell Pepper"
"Vitamin B-12","UG",0,"Red Bell Pepper"
"Water","G",92.2,"Red Bell Pepper"
"Calcium, Ca","MG",7,"Red Bell Pepper"
"Potassium, K","MG",211,"Red Bell Pepper"
"Zinc, Zn","MG",0.25,"Red Bell Pepper"
"Vitamin B-6","MG",0.291,"Red Bell Pepper"
"Total lipid (fat)","G",0.3,"Red Bell Pepper"
"Vitamin D (D2 + D3)","UG",0,"Red Bell Pepper"
"Folic acid","UG",0,"Yellow Bell Pepper"
"Vitamin D (D2 + D3), International Units","IU",0,"Yellow Bell Pepper"
"Fiber, total dietary","G",0.9,"Yellow Bell Pepper"
"Vitamin A, RAE","UG",10,"Yellow Bell Pepper"
"Energy","kJ",112,"Yellow Bell Pepper"
"Carbohydrate, by difference","G",6.32,"Yellow Bell Pepper"
"Energy","KCAL",27,"Yellow Bell Pepper"
"Protein","G",1,"Yellow Bell Pepper"
"Iron, Fe","MG",0.46,"Yellow Bell Pepper"
"Magnesium, Mg","MG",12,"Yellow Bell Pepper"
"Phosphorus, P","MG",24,"Yellow Bell Pepper"
"Sodium, Na","MG",2,"Yellow Bell Pepper"
"Vitamin C, total ascorbic acid","MG",184,"Yellow Bell Pepper"
"Vitamin B-12","UG",0,"Yellow Bell Pepper"
"Cholesterol","MG",0,"Yellow Bell Pepper"
"Vitamin B-6","MG",0.168,"Yellow Bell Pepper"
"Water","G",92,"Yellow Bell Pepper"
"Calcium, Ca","MG",11,"Yellow Bell Pepper"
"Potassium, K","MG",212,"Yellow Bell Pepper"
"Zinc, Zn","MG",0.17,"Yellow Bell Pepper"
"Total lipid (fat)","G",0.21,"Yellow Bell Pepper"
"Vitamin D (D2 + D3)","UG",0,"Yellow Bell Pepper"
"Protein","G",0.8,"Satsumas"
"Total lipid (fat)","G",0,"Satsumas"
"Carbohydrate, by difference","G",0.94,"Satsumas"
"Energy","KCAL",46,"Satsumas"
"Water","G",86.9,"Satsumas"
"Sugars, total including NLEA","G",0.94,"Satsumas"
"Fiber, total dietary","G",0.7,"Satsumas"
"Iron, Fe","MG",100,"Satsumas"
"Magnesium, Mg","MG",6,"Satsumas"
"Vitamin C, total ascorbic acid","MG",69,"Satsumas"
